Dataset,Swin_Accuracy,Swin_F1,Zoom_Accuracy,Zoom_F1,Δ Confidence,Error_Reduction_%,Zoom_Trigger_%
Hyper-Kvasir,0.8487518355359766,0.9181890389197777,0.9750367107195301,0.9873605947955391,-0.2954951672411327,83.49514563106798,0.0
CVC-ClinicDB,0.994281045751634,0.997132322818517,1.0,1.0,-0.17562771227600332,100.0,0.0
CVC-ColonDB,0.9078947368421053,0.9517241379310345,1.0,1.0,-0.3232577032421863,100.0,0.0
ETIS-LaribPolypDB,0.25,0.4,1.0,1.0,0.2926928640549706,100.0,0.0
