Dataset,Swin_Accuracy,Swin_F1,ZoomNext_Accuracy,ZoomNext_F1
Hyper-Kvasir,0.8487518355359766,0.9181890389197777,0.8487518355359766,0.9181890389197777
CVC-ColonDB,0.9078947368421053,0.9517241379310345,0.9236842105263158,0.960328317373461
CVC-ClinicDB,0.994281045751634,0.997132322818517,0.9950980392156863,0.9975429975429976
